strategy,noise_rate,n_reviews,f1_mean,f1_std,count
active_learning,0.0,0,0.8333333333333334,0.04059050771650949,3
active_learning,0.0,10,0.8333333333333334,0.04059050771650949,3
active_learning,0.0,20,0.8333333333333334,0.04059050771650949,3
active_learning,0.0,30,0.8333333333333334,0.04059050771650949,3
active_learning,0.0,40,0.7956989247311829,0.024637503736321755,3
active_learning,0.0,50,0.924731182795699,0.04927500747264346,3
active_learning,0.0,60,0.9193548387096774,0.027936303347885175,3
active_learning,0.0,70,0.9193548387096774,0.05815405283006435,3
active_learning,0.0,80,0.967741935483871,0.016129032258064502,3
active_learning,0.0,90,0.978494623655914,0.009312101115961698,3
active_learning,0.0,100,0.989247311827957,0.018624202231923397,3
hybrid_scoring,0.0,0,0.8333333333333334,0.04059050771650949,3
hybrid_scoring,0.0,10,0.8333333333333334,0.04059050771650949,3
hybrid_scoring,0.0,20,0.8333333333333334,0.04059050771650949,3
hybrid_scoring,0.0,30,0.8333333333333334,0.04059050771650949,3
hybrid_scoring,0.0,40,0.8817204301075269,0.018624202231923397,3
hybrid_scoring,0.0,50,0.8924731182795699,0.018624202231923397,3
hybrid_scoring,0.0,60,0.9301075268817204,0.009312101115961698,3
hybrid_scoring,0.0,70,0.9354838709677419,0.0,3
hybrid_scoring,0.0,80,0.9354838709677419,0.0,3
hybrid_scoring,0.0,90,0.956989247311828,0.009312101115961698,3
hybrid_scoring,0.0,100,0.9731182795698925,0.009312101115961698,3
no_hitl,0.0,0,0.8333333333333334,0.04059050771650949,3
no_hitl,0.0,10,0.8333333333333334,0.04059050771650949,3
no_hitl,0.0,20,0.8333333333333334,0.04059050771650949,3
no_hitl,0.0,30,0.8333333333333334,0.04059050771650949,3
no_hitl,0.0,40,0.8333333333333334,0.04059050771650949,3
no_hitl,0.0,50,0.8333333333333334,0.04059050771650949,3
no_hitl,0.0,60,0.8333333333333334,0.04059050771650949,3
no_hitl,0.0,70,0.8333333333333334,0.04059050771650949,3
no_hitl,0.0,80,0.8333333333333334,0.04059050771650949,3
no_hitl,0.0,90,0.8333333333333334,0.04059050771650949,3
no_hitl,0.0,100,0.8333333333333334,0.04059050771650949,3
preference_model,0.0,0,0.8333333333333334,0.04059050771650949,3
preference_model,0.0,10,0.8333333333333334,0.04059050771650949,3
preference_model,0.0,20,0.8333333333333334,0.04059050771650949,3
preference_model,0.0,30,0.8333333333333334,0.04059050771650949,3
preference_model,0.0,40,0.7956989247311829,0.024637503736321755,3
preference_model,0.0,50,0.8440860215053764,0.07272983472294993,3
preference_model,0.0,60,0.8978494623655914,0.0465605055798086,3
preference_model,0.0,70,0.9946236559139785,0.009312101115961698,3
preference_model,0.0,80,1.0,0.0,3
preference_model,0.0,90,1.0,0.0,3
preference_model,0.0,100,1.0,0.0,3
rule_mining,0.0,0,0.8333333333333334,0.04059050771650949,3
rule_mining,0.0,10,0.5698924731182796,0.009312101115961698,3
rule_mining,0.0,20,0.3279569892473118,0.07449680892769364,3
rule_mining,0.0,30,0.6397849462365591,0.15830571897134907,3
rule_mining,0.0,40,0.7096774193548386,0.055872606695770266,3
rule_mining,0.0,50,0.8333333333333334,0.06518470781173197,3
rule_mining,0.0,60,0.7580645161290324,0.1588525451902597,3
rule_mining,0.0,70,0.8225806451612904,0.055872606695770266,3
rule_mining,0.0,80,0.9032258064516129,0.016129032258064502,3
rule_mining,0.0,90,0.9139784946236559,0.009312101115961698,3
rule_mining,0.0,100,0.9247311827956989,0.009312101115961698,3
threshold_adjustment,0.0,0,0.8333333333333334,0.04059050771650949,3
threshold_adjustment,0.0,10,0.8333333333333334,0.04059050771650949,3
threshold_adjustment,0.0,20,0.8333333333333334,0.04059050771650949,3
threshold_adjustment,0.0,30,0.8333333333333334,0.04059050771650949,3
threshold_adjustment,0.0,40,0.8333333333333334,0.04059050771650949,3
threshold_adjustment,0.0,50,0.8333333333333334,0.04059050771650949,3
threshold_adjustment,0.0,60,0.8333333333333334,0.04059050771650949,3
threshold_adjustment,0.0,70,0.8333333333333334,0.04059050771650949,3
threshold_adjustment,0.0,80,0.8333333333333334,0.04059050771650949,3
threshold_adjustment,0.0,90,0.8333333333333334,0.04059050771650949,3
threshold_adjustment,0.0,100,0.8333333333333334,0.04059050771650949,3
